트위터,날짜
@tkadnjs4770 일본기업 《롯데불매운동》 지주사 전환시 '현금 창고' 생긴다 돈벌기 쉽네요 이름 빌려주고 몇 천억 http://me2.do/GWPeONOS #도화선 #소상공인연합회pic.twitter.com/5qaRvQLWFF,2015-11-19
일본기업 《롯데불매운동》 지주사 전환시 '현금 창고' 생긴다 돈벌기 쉽네요 이름 빌려주고 몇 천억 http://me2.do/GWPeONOS #도화선 #소상공인연합회pic.twitter.com/5qaRvQLWFF,2015-11-19
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/o6N1ycZwDj",2015-11-19
"@tkadnjs4770 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/o6N1ydh81T",2015-11-19
기억하십시오 롯데는 그룹 자체가 국가정체성이 모호한 그룹입니다. 메인은 일본 사업은 한국.. 이들 밥그릇 싸움은 한쪽이 승자가 될때 까지 멈추지 않을겁니다. 이제 불매운동을 통해 저들이 롯데천국이 되지 않도록 해야 합니다.,2015-11-17
그러고보니.. 얼마 전 일본기업이니 형제의 난이니 하면서 엄청 손가락질하고 불매운동을 하겠다고 여기저기서 이야기 했던 것 같은데 어제는 결국 말도 안되는 이상한 기념일을 만든 그곳을 찬양하며 거기서 만든 과자를 사는 꼴이라니..,2015-11-12
롯데기업이 일본기업이다. 불매운동이다 어쩐다 해도 빼빼로는 참 많이들 사가는듯 ....,2015-11-10
"@_sedo_ya ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회 pic.twitter.com/9yjdyxup0H /국민을 호갱으로 아는 기업",2015-11-10
"@_sedo_ya @kji00778805 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회 pic.twitter.com/9yjdyxup0H /국민을 호갱으로 아는 기업",2015-11-10
"@kji00778801 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회 pic.twitter.com/9yjdyxup0H /국민을 호갱으로 아는 기업",2015-11-10
"@tkadnjs4770 @kji00778805 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회 pic.twitter.com/9yjdyxup0H /국민을 호갱으로 아는 기업",2015-11-10
"@tkadnjs7900 @kji00778805: ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 소상공인연합회 pic.twitter.com/9yjdyxup0H /국민을 호갱으로 아는 기업",2015-11-10
@susuro11 전세계인들이 단합해 일본 신사 철거를 위해 일본불매운동이라도 해야한다. 전쟁신을 통해 국수주의를 앞세우고 주변국을 침략하려는 속성을 보이는 강도짓을 서슴없이 하는 국가는 더이상 존재가치가 없다. 일본에도 사람이 있게해야한다,2015-11-04
"아모레가 가장 무서워하는 상황이, 아마 중국쪽 웹에 ""아모레가 일본의 침략과 식민지배를 미화하는 교과서를 지지한다.""라고 소문이 나서 중국에서 불매운동이 일어나는것일듯. 이렇게 하루만에 바로 꼬리내리고 사과한 배경은, 중국의 반일정서 때문이 아닐지..",2015-11-02
조중동 을 믿을수없다며 불매운동까지했던자들이 일본괴로국의 어용조작날조신문기사를 신처럼받들며 박정희친일파론을 펴고있다. 내가 보기엔 식민지시절 일본어용신문의 조작날조를 믿는 너희들이 진짜친일파로 보인다,2015-11-02
"@musketeer017179 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"@tkadnjs4770 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"@kjsultra @kji00778801 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회 pic.twitter.com/ukJ7DdWtA7 https://twitter.com/kjsultra/status/640772857325195264 …",2015-11-01
"@kjsultra @tkadnjs7900 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"@kimhj58 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"@_sedo_ya ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회 pic.twitter.com/ukJ7DdWtA7 https://twitter.com/_sedo_ya/status/642650446394363904 …",2015-11-01
"@_sedo_ya ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회 pic.twitter.com/ukJ7DdWtA7 https://twitter.com/_sedo_ya/status/642650587780149248 …",2015-11-01
"@kji00778801 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회 pic.twitter.com/ukJ7DdWtA7 https://twitter.com/kji00778801/status/642966829816614912 …",2015-11-01
"@tkadnjs4770 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"@tkadnjs7900 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"@296901 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"@kjsultra @tkadnjs4770 ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
"""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회 pic.twitter.com/ukJ7DdWtA7 https://twitter.com/_sedo_ya/status/643785609736130561 …",2015-11-01
"@_sedo_ya ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ #도화선 #소상공인연합회pic.twitter.com/ukJ7DdWtA7",2015-11-01
아모레퍼시픽... 요새 장사 좀 된다 싶으니까 눈에 뵈는 게 없구나. 한국에서 불매운동 해도 중국에서 팔면 된다 이건가. 중국도 일본 과거사에 관해선 예민한데.,2015-11-01
@bts_yyyyy 거긴 더하더라고요 ㄷㄷㄷ 지금 불매운동 추진중이라고 하더라고요 ㅜㅜ 일본 투어만 엄청 돌림 오졌고요...ㄷㄷㄷㄷ,2015-10-29
#네셔널지오그래픽 #NationalGeographic 의 한 다큐에 나오는 #일본. #독도 를 일본땅으로 표기했다. 해명해라. 왜 독도가 일본 땅인지. 안하면 너희 옷 불매운동 주창할거다. pic.twitter.com/qVbjmmHvTQ,2015-10-28
"@tkadnjs7900 @tkadnjs4770 아사다마오를 후원하고도 한국기업이라며 국민을 조롱하는 일본기업 롯데불매운동 , 면세점사업 35년 특혜 중단하라! 골목상권 초토화시킨 롯데 심판하자! #소상공인연합회 #도화선 소상공인연합회",2015-10-25
"신동주 ""내가 일본, 동생이 한국""..숨 고르기 | 다음 뉴스 http://media.daum.net/v/20151021225125543?f=m … 역시 신동주는 일본 똑바리였고 롯데 또한 일본 기업임을 스스로 밝히네. 롯데 상품 불매운동 고고고~",2015-10-21
"롯데는 일본회사, 대한민국에서 장사해 일본으로 대부분의 자본을 유출시키는 역적, 롯데에 대해 불매운동이라도 해야 하는걸까요? https://twitter.com/PRESSIAN_news/status/656392779161997312 …",2015-10-20
@SBS8news 롯데는 일본기업 국민은 이 지저분한 기업퇴출 운동과 불매운동 해야~~~,2015-10-18
"롯데가 신동주가 관장한다면 완존 일본기업잉깨로~, 따라서 불매운동하고 면세점도 주지말고 일본같이 일반서민 상인도 면세점 운영할 수 있게해야하무니다. http://me2.do/FxZ0UpIA",2015-10-17
일본의 경제식민지 로 가는 대한민국 독점구조에 선택권이 없다? 미래를 포기할 것인가! 롯데 불매운동 하고 싶어도 할 수가 없다 소비의 선순환을 생각하지 않으면 미래는 없다 http://bit.ly/1LnzntY #도화선 #소상공인연합회,2015-10-16
일본의 경제식민지 로 가는 대한민국 독점구조에 선택권이 없다? 미래를 포기할 것인가! 롯데 불매운동 하고 싶어도 할 수가 없다 소비의 선순환을 생각하지 않으면 미래는 없다 http://www.idomin.com/?mod=news&act=articleView&idxno=491962 … #도화선 #소상공인연합회,2015-10-15
일본의 경제식민지 로 가는 대한민국 독점구조에 선택권이 없다? 미래를 포기할 것인가! 롯데 불매운동 하고 싶어도 할 수가 없다 소비의 선순환을 생각하지 않으면 미래는 없다 http://www.idomin.com/?mod=news&act=articleView&idxno=491962 … #도화선 #소상공인연합회,2015-10-15
일본의 경제식민지 로 가는 대한민국 독점구조에 선택권이 없다? 미래를 포기할 것인가! 롯데 불매운동 하고 싶어도 할 수가 없다 소비의 선순환을 생각하지 않으면 미래는 없다 http://www.idomin.com/?mod=news&act=articleView&idxno=491962 … #도화선 #소상공인연합회,2015-10-15
일본의 경제식민지 로 가는 대한민국 독점구조에 선택권이 없다? 미래를 포기할 것인가! 롯데 불매운동 하고 싶어도 할 수가 없다 소비의 선순환을 생각하지 않으면 미래는 없다 http://www.idomin.com/?mod=news&act=articleView&idxno=491962 … #도화선 #소상공인연합회,2015-10-15
"일본기업 롯데 불매운동 말뿐인 상생도 논하지 않는 대기업 [메트로신문 박상길기자] 롯데와 신세계, 현대 등 유통재벌 그룹의 유통시장… http://ln.is/www.metroseoul.co.kr/WBP7m … #도화선 #소상공인연합회 소상공인연합회",2015-10-13
시간이 지날수록 키무카츠의 맛없음에 화가 더 난다 소중한 한끼를 유린당한 느낌이다 일본명물은 개뿔 화가 나서 견딜수가 없다 불매운동이라도 펼치고 싶은 수준이다,2015-10-09
코리아 블랙프라이데이에 사기 친 유니클로…누리꾼 불매운동까지 - : http://goo.gl/6K0xP1 일본 기업인것을 몰랐나?,2015-10-08
유니클로는 일본기업으로 독도는일본땅이라는 일본단체를 후원하는 나쁜기업입니다 해서 유니클로 불매운동 은 애국 하는겁니다 https://twitter.com/sada69c59/status/652241750036078592 …,2015-10-08
유니클로는독도는 일본땅이라는단체를후원하는기업입니다 불매운동 해야할 일본기업 https://twitter.com/6882c93abe3b4a1/status/651734013086818304 …,2015-10-07
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데시네마 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-10-07
RT @tkadnjs4770: 일본기업 롯데 이익금 거의 다 일본으로 건너가 대한민국 소비는 일본을 살찌게하고 있다. 《롯데불매운동의 이유》 http://ln.is/m.incheonin.com/news/Wq5g8 … #도화선 #소상공인연합회,2015-10-06
RT @jmjj0926: 소심하지만 작은것부터 실천함이 바꿀수 있다는것을 믿습니다. 일본기업 롯데 불매운동에 참여합시다 https://twitter.com/jmjj0926/status/641591075354734593/photo/1pic.twitter.com/hGrHB3huWV,2015-10-06
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데시네마 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-10-05
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데시네마 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-10-05
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데시네마 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-10-05
"롯데는 일본기업입니다. 그렇다면... 당연히 불매운동입니다. 당연히 불매,....롯데마크 붙은 것은 사먹지 맙시다. #롯데불매",2015-10-04
일본기업 가라! 일본으로~~ 《롯데불매운동》 롯데 '불공정 행위 1위'..과징금은 가장 적어 한 해에도 수십 차례에 걸쳐 법 위반을 하는 등 대기업의 행태가 도를 넘어섰다 http://ln.is/m.m-i.kr/news/Yu5D6 … #도화선 #소상공인연합회,2015-10-04
"일본기업의 롯데탄산음료 ""트레비"" 불매운동 합시다! 남녀노소 모두 즐기는 탄산수 트레비 http://modoonews.com/?article=32374",2015-10-03
"일본기업 롯데 불매운동 ""작은 불편과 희생이 큰 변화 이끈다"" 믿음 줘야 ‘제한된 소비’불편?희생이 요구되지만 질적 소비의 선순환을 생각해야 나라경제를 살릴 수 있다 http://media.daum.net/v/20151001113226311?f=m … #도화선 #소상공인연합회",2015-10-03
"일본기업 롯데 불매운동 일본기업 다운 생각이무니다! '알바'로 생계 잇는 청년, 3000만원 뿌리친 사연 http://media.daum.net/v/20150928113405011?f=m … #도화선 #소상공인연합회pic.twitter.com/ylUiWTrdFl",2015-10-03
"일본기업 롯데 불매운동 일본기업 다운 생각이무니다! '알바'로 생계 잇는 청년, 3000만원 뿌리친 사연 http://media.daum.net/v/20150928113405011?f=m … #도화선 #소상공인연합회 소상공인연합회pic.twitter.com/UsQ1aLVDD5",2015-10-03
"일본기업 롯데 불매운동 일본기업 다운 생각이무니다! '알바'로 생계 잇는 청년, 3000만원 뿌리친 사연 http://media.daum.net/v/20150928113405011?f=m … #도화선 #소상공인연합회 소상공인연합회pic.twitter.com/NUDYVEOACD",2015-10-03
"일본기업 롯데 불매운동 일본기업 다운 생각이무니다! '알바'로 생계 잇는 청년, 3000만원 뿌리친 사연 http://media.daum.net/v/20150928113405011?f=m … #도화선 #소상공인연합회 소상공인연합회pic.twitter.com/iDtZHFeoC3",2015-10-03
"일본기업 롯데 불매운동 일본기업 다운 생각이무니다! '알바'로 생계 잇는 청년, 3000만원 뿌리친 사연 http://media.daum.net/v/20150928113405011?f=m … #도화선 #소상공인연합회 소상공인연합회pic.twitter.com/1d4mYveBmE",2015-10-03
"일본기업 롯데 불매운동 ""작은 불편과 희생이 큰 변화 이끈다"" 믿음 줘야 ‘제한된 소비’불편?희생이 요구되지만 질적 소비의 선순환을 생각해야 나라경제를 살릴 수 있다 http://media.daum.net/v/20151001113226311?f=m … #도화선 #소상공인연합회 소상공인연합회",2015-10-03
"일본기업 롯데 불매운동 ""작은 불편과 희생이 큰 변화 이끈다"" 믿음 줘야 ‘제한된 소비’불편?희생이 요구되지만 질적 소비의 선순환을 생각해야 나라경제를 살릴 수 있다 http://media.daum.net/v/20151001113226311?f=m … #도화선 #소상공인연합회 소상공인연합회",2015-10-03
"일본기업 롯데 불매운동 ""작은 불편과 희생이 큰 변화 이끈다"" 믿음 줘야 ‘제한된 소비’불편?희생이 요구되지만 질적 소비의 선순환을 생각해야 나라경제를 살릴 수 있다 http://media.daum.net/v/20151001113226311?f=m … #도화선 #소상공인연합회 소상공인연합회",2015-10-03
"일본기업 롯데 불매운동 ""작은 불편과 희생이 큰 변화 이끈다"" 믿음 줘야 ‘제한된 소비’불편?희생이 요구되지만 질적 소비의 선순환을 생각해야 나라경제를 살릴 수 있다 http://media.daum.net/v/20151001113226311?f=m … #도화선 #소상공인연합회 소상공인연합회",2015-10-03
"일본기업 롯데 불매운동 이어, 지방의회도 롯데 압박 시작 김해시의회 결의안 발의...창원시의회도 규제 방안 검토 http://bit.ly/1jnJNmn #도화선 #소상공인연합회",2015-09-27
"일본기업 롯데 불매운동 이어, 지방의회도 롯데 압박 시작 김해시의회 결의안 발의...창원시의회도 규제 방안 검토 http://mnews.joins.com/article/18745303 … #도화선 #소상공인연합회 소상공인연합회",2015-09-27
"일본기업 롯데 불매운동 이어, 지방의회도 롯데 압박 시작 김해시의회 결의안 발의...창원시의회도 규제 방안 검토 http://mnews.joins.com/article/18745303 … #도화선 #소상공인연합회 소상공인연합회",2015-09-27
"일본기업 롯데 불매운동 이어, 지방의회도 롯데 압박 시작 김해시의회 결의안 발의...창원시의회도 규제 방안 검토 http://mnews.joins.com/article/18745303 … #도화선 #소상공인연합회 소상공인연합회",2015-09-27
"일본기업 롯데 불매운동 이어, 지방의회도 롯데 압박 시작 김해시의회 결의안 발의...창원시의회도 규제 방안 검토 http://ln.is/news.joins.com/artic/Auios … #도화선 #소상공인연합회 소상공인연합회",2015-09-27
@tkadnjs7900 일본기업 에게 통채로 나라를 주려고 지랄하는 겨 쪽빠리에게 특혜주는 대한민국 ㅠㅠ 일본기업 롯데 불매운동,2015-09-27
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데시네마 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-09-27
"조용히 한국에 대해 불매운동 벌이는, 일본 미디어를 즐겁게 해주는 한국의 교수들... 한국 교수들의 이어지는 “친일 망언”、 한국민의 공분 불러, 일본 보도 http://goo.gl/SCAUmh",2015-09-25
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데시네마 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-09-24
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-09-24
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-09-24
'식품 한류' 日서 시들… 김치·막걸리 수출 급감.. 일본은 조용히 불매운동 하는 중... http://goo.gl/iM3DSh,2015-09-24
"Retweeted 친일 민족 반역 쓰레기 작살![짱돌] ( @kenzo105b): @kji00778805: ""롯데불매운동"" 일본기업인 롯데는 대한민국을 ""봉"" ""봉"" ""봉""이라 볼 뿐입니다. ㅠㅠ... http://fb.me/3UTV9Y5dC",2015-09-24
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-09-24
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-09-23
(일본기업 롯데 불매운동) 롯데카드 롯데제과 롯데리아 롯데월드 롯데호텔 롯데마트 하이마트 롯데백화점 롯데면세점 롯데자이언츠 세븐일레븐,2015-09-23
@sinbi2010 폐기안하면 일본우파들에게 돈줄대주고 있는기업 물건들 불매운동해야한다고 생각함.,2015-09-21
"Retweeted 우리는 느그들 하고는 남이다 ( @mike8872): "" @tkadnjs4770: 일본기업 '롯데 불매운동' 아줌마부대가 심상치 않아 http://m.mediapen.com/news/articleView.html?idxno=87926 … #도화선... http://fb.me/6SenOy8oS",2015-09-20
망치부인 일본 아베의 자위대법 통과! 전범기업 전세계 불매운동 시작 할때! (2015. 09. 20) 1부 https://youtu.be/eFNSMN7BpiY 2부 https://youtu.be/9B30flPsOz8 pic.twitter.com/czlQfN5GEm,2015-09-20
망치부인 박근혜 개이름만 짓지말고 실천을 해! 친일망언 고대 교수! 고대 학생들 뭐해 친일파야? 일본의 자위대법 통과! 전범기업 전세계 불매운동! (9/21) http://blog.daum.net/parkjj33/887 pic.twitter.com/sUpB9SIvBt,2015-09-20
망치부인(후반전) 박근혜 개이름만짓지말고 실천을 해! 친일망언 고대교수! 고대 학생들 친일파야? 일본 아베의 자위대법 통과! 전범기업 불매운동!(2015. 9. 20) https://youtu.be/9B30flPsOz8 pic.twitter.com/1cwbtK2pXu,2015-09-20
망치부인(전반전) 박근혜 개이름만 짓지말고 실천을 해! 친일망언 고대 교수! 고대 학생들 친일파야? 일본 아베의 자위대법 통과! 전범기업 불매운동!(2015.9.20) https://youtu.be/eFNSMN7BpiY pic.twitter.com/xfYW0xPxRO,2015-09-20
"http://pdjch.tistory.com/ 한국야쿠르트 불매운동 시작, 회장님은 박정희 정권 경호실장 출신으로 5.16쿠테타 재단 지원, 거짓 제품으로 어린이 키성장 제품 논란, 꼼수 마케팅 논란, 일본으로 국내 자본 유출 등이라고 합니다.",2015-09-16
