트위터,날짜
"+ 2:8 수익배분과 같은 가챠샵 계약 내용은 일본 수입시 따온 계약 내용이라 티아츠 내부에서도 회의중이라고 합니다 +불매운동과 더불어, 02-487-5803 티아츠 코리아로 전화/메일 총공에 힘써주셨으면 합니다.",2018-11-21
티아츠 코리아의 계약서 같은 경우는 일본 계약서를 그대로 따왔다고 전화로 들었습니다. 불매운동과 목소리를 내는 게 효과적이라고 생각합니다.,2018-11-21
한국에서 불매운동 한다고 바뀔 일본 게임이 아닐거라는거지...어쩌면 이제껏 홍련 욕하면서도 불매운동 불거지지 않았던 이유가 다른것도 있겠지만 이것도 분명히 있을거라고 생각한다 다들 알고있는거야 별 타격 못입힌다는걸,2018-11-21
"日관방 ""소송 대상 한국내 일본 기업과 긴밀한 연대"" | 다음뉴스 https://news.v.daum.net/v/20181112115941373 …? f=m 항상 하는 말이지만 도요타 미쓰비시등 대표적인 일본제품 불매운동을 가열차게 전개해야만한다. 깨어있는 사람이라면 벽에라도 욕할수 있는 인간으로 살자! 우린 개돼지가 아니다",2018-11-18
내 행동의 변화 첫번째 유...가 일본 우익지원기업인지 확인이 안된다 하지만 오늘 본 이 사진을 보니. 불매운동해도 될것 같다 #RememberHistorypic.twitter.com/igtHX9wgtC,2018-11-16
"불매운동의 목적이 뭔데? 지금 누구한테 잘못을 따지고 사과를 받고싶은거임 빅힛? 일본한테 사과해서 죄송합니다 이런 내용? 그거 받으면 또 뭐가 달라지는데? 이런 기사는 나올 수 있겠네 ㅂㅌㅅㄴㄷ, 일본 원폭 피해자에게 사과한 것 자국 팬들에게 사과해.. 진정성 의심 ㅁㄴㅇㄹ",2018-11-16
"진짜 우리가 우익이 방탄 일본 앨범 참여한다했을 때 긴 시간동안 반대하고 불매운동도 하고 그랬을 때 아미들 메일 다 무시하고 겨우 며칠 후에 피드백 낸게 고작 몇 줄인데,.. 이번엔 낼 필요도 없던 피드백을, 그것도 장문으로 해서 금방 이렇게 올릴 줄이야.. 너무 실망스럽고 창피하다...",2018-11-13
글로벌 아미들 소식 전해듣고 점점 뿔나는 중 ㅋㅋㅋ 이러다 진짜 전세계 아미 일본 불매운동하겠다 #BTS,2018-11-10
BTS 일본 방송 출연 정지 통보 기사를 보며 이젠 울나라가 외교도 일본보다 잘하고 있구나 라는 생각이 일본 정부는 스스로 세계의 조롱 거리가 될 뿐 ㅎ 이참에 확 일본 제품 불매운동이나 할까 심심한데 ㅎ,2018-11-09
우리도 엠스테 사건터진 김에 일본 불매 운동이나 시작했으면 좋겠다... 일본은 지민이 티셔츠 하나로 전날 통보에 뉴스까지 오르내리는데 아미가 일본 불매운동하면 우리 나라에서 일본제품 싹다 없어질 수 있울것가틈,2018-11-08
머리가 복잡해 진다 이것 저것 따져보게 되고 그러나 옳은 결정이 맞고 저것들은 지들이 뭐라고 그걸 질문해 그래 나도 이제 니네 나라 안가면 돼 니네 물품 안쓸거고 나혼자 일본불매운동하지 뭐 ㅋㅋ,2018-11-08
일본 지금 불매운동 하나요...? 갑자기 풀돌순위가 뚝 떨어졌는데ㅋㅋㅋㅋㅋㅋㅋㅋ,2018-11-06
"<롯데 같은 일본기업들과 갑질하는 기업들의 확실한 불매운동이 시민들에 의해 제대로 이뤄지면 맥널이나 비굴한 공무원도 무릎꿇을텐데...> ""맥도날드 재조사해주세요""..끝나지 않은 母의 투쟁 https://news.v.daum.net/v/20181103205707641?rcmd=rn&f=m …",2018-11-05
민간차원에서 일본 전범기업 불매운동을 벌여야되지 않을까요? 친일신문들도 퇴출 시커야하구요!,2018-11-04
요즘 강제지용자들 배상 판결 후에 일본 정치인들은 돌아가며 한국 정부가 책임 져라고 한마디씩 하던데 우리나라 위정자들은 일본정부에 전혀 할말이 없는가봐요?할말이 없으면 일제불매운동 이라도 주동하던지 ㅎㅅㅎㄷ,2018-11-04
아 그래서 그쪽은 유니클로 다이소 등 일본기업 다 불매운동하고다니세요? 사쿠라 덕질하는게 위안부 할머님들께 막대한 영향을끼치나요?,2018-10-28
앙스타 드림라이브 유성대랑 스위치 나온다고 했나 그거보고 또 좋다고 일본 가야겠다 메박에서 상영 안하냐 하는거 보면 앙팬덤 불매운동은 대체 왜 했나 싶고ㅋㅋㅋㅋㅋㅋ 불매운동같지도 않은거 할거면 걍 가만히 있지.. 전에 해시태그 총공할때 잠깐 올리면 단줄 아나 그냥 빻타쿠인거 인정해..,2018-10-22
근데 앙스타 뭐 일본뭐시기해서 불매운동 다같이 하지 않았냐 왜 아직도 저런거 나오지,2018-10-21
"""포카리스웨트·오로나민C 마셨나요?.. 동아오츠카 야스쿠니 참배 후원한 셈"" 韓서 배당금·로열티 받아가..몰랐던 소비자들 '분통' 업계 관계자 : ""국내 기업이 일본 야스쿠니 신사 참배를 간접 후원한 셈이 됐다"" ""불매운동이 안 일어나는 것이 신기하다"" https://news.v.daum.net/v/20181009070021386?f=m …pic.twitter.com/DhDINmOEKM",2018-10-15
사이토소마 일본에서도 유사코지 까는 거 돌아서 불매운동도 있고 그랬는데 존나 회사에서 푸쉬해주는지 저새끼 메인으로 자꾸 나와서 팬들 쓸려나간게 한두번이 아님...,2018-10-11
일본 오츠카제약이 야스쿠니 신사를 참배한 일본 정치인들을 후원한 것과 관련해 동아오츠카에 불똥이 튀었는데요. 이 같은 사실이 알려지자 소비자들은 ‘불매운동’과 ‘과도한 비난’이라는 상반된 반응. #야스쿠니 #신사_참배 #오츠카http://www.sisaweek.com/news/articleView.html?idxno=114434 …,2018-10-11
"ㅇㅌ) 국내에서 어케 못해본들 소비자들이 저 사실을 알게 되었는데 가만히 있을리가...? 더 많이 퍼지면 퍼질수록 불매운동이 일어나것지,, 한국 매출 떨어지면 일본 본사도 손놓고만 있진 않을거 아녀",2018-10-09
한국 소비자의 돈으로 한민족 학살 전범들이 묻힌 야수쿠니 신사참배한 일본 정치인을 후원! 당연히 #동아오츠카_제품_불매운동! #포카리스웨트 #아로나민C #데미소다 #오란씨 #화이브미니 등pic.twitter.com/e4I2p9Y5sK,2018-10-09
난 왠지 이게 맞는거 같운데..저번에 우리가 불매운동 했던 것처럼 일본팬들도 빅/힛이 일본만 특혜주고 일본어로 노래부르고 이러는거 하지 말라고 저렇게 말한거 같운데.. 솔직히 이거해서 손해보는거 일본팬밖에 없자나.. #btsの日本活動停止を求めますpic.twitter.com/0Bddt7JzeE,2018-10-07
족발이 놈들 정말 하는짓이 꼭 이웃나라 괴롭히고 욕먹을 짓만 하는지 일본 수입되는 농수산물 불매운동을 해야 하겠네. 日 원자력위 ＂후쿠시마 오염수 해양방출 허용 방침＂ (출처 : 연합뉴스 | 네이버 뉴스) http://naver.me/G0CJx92i,2018-10-06
"""욱일기 군국주의 내세우는 행동, 日 참회·사과가 도리"" ""유럽서 나치 깃발 펄럭이는 것과 뭐가 다른가"" 일본 전범기업에 대해 불매운동을 벌이면 어떨까요? 현재 존재하는 일본 전범 주요기업 리스트 출처 : 배용석 | 블로그 https://m.blog.naver.com/byspoets/221338904259 …",2018-10-06
"""욱일기 군국주의 내세우는 행동, 日 참회·사과가 도리"" ""유럽서 나치 깃발 펄럭이는 것과 뭐가 다른가"" 일본 전범기업에 대해 불매운동을 벌이면 어떨까요? 현재 존재하는 일본 전범 주요기업 리스트 출처 : 배용석 | 블로그 https://m.blog.naver.com/byspoets/221338904259 …",2018-10-06
"""욱일기 군국주의 내세우는 행동, 日 참회·사과가 도리"" ""유럽서 나치 깃발 펄럭이는 것과 뭐가 다른가"" 일본 전범기업에 대해 불매운동을 벌이면 어떨까요? 현재 존재하는 일본 전범 주요기업 리스트 출처 : 배용석 | 블로그 https://m.blog.naver.com/byspoets/221338904259 …",2018-10-06
"일본제품 불매운동으로 이어져야.. 이석현, 영토·영해·영공 '욱일기사용금지법' 발의 | 다음뉴스 https://news.v.daum.net/v/20181003033608161?f=m …",2018-10-02
불매운동은 기업을 움직일 레버리지를 포기하는 행위다. 그래서 구매의 힘은 일본 극우세력에게 돈을 대주는 일본 기업의 행동을 어떻게 멈추게 할 것인가. 우리나라사람들은 오카모토 콘돔이나 아사히 맥주가 한국에서 태극기를 달고 흔드는 마케팅을 보고싶어하는 것은 아닐 것이다.,2018-10-02
"제주 국제관함식에 '욱일기' 단 군함 등장 예고 ""군국주의 내세우는 행동, 日 참회·사과가 도리"" ""유럽서 나치 깃발 펄럭이는 것과 뭐가 다른가"" 일본 전범기업에 대해 불매운동을 벌이면 어떨까요? 현재 존재하는 일본 전범 주요기업 리스트 출처 : 배용석 | 블로그 https://m.blog.naver.com/byspoets/221338904259 …pic.twitter.com/IYwpvgXYfu",2018-10-01
"제주 국제관함식에 '욱일기' 단 군함 등장 예고 ""군국주의 내세우는 행동, 日 참회·사과가 도리"" ""유럽서 나치 깃발 펄럭이는 것과 뭐가 다른가"" 일본 전범기업에 대해 불매운동을 벌이면 어떨까요? 현재 존재하는 일본 전범 주요기업 리스트 출처 : 배용석 | 블로그 https://m.blog.naver.com/byspoets/221338904259 …",2018-10-01
"장소 변경에, 갑자기 추첨 등 동인이벤트로서는 큰 리스크인 이런 일들이 터져대니 어지간해서 들고 일어나지 않는 일본에서도 불매운동이 일어나버립니다. 대대적인 상황은 아니지만 대체 이벤트가 얼마든지 있는 장르나 커플링은 스YOU를 손절하기 시작.(후술)",2018-09-28
여혐 안하겠다며 글 올린지 얼마나 됐다고 솔직히 돈벌어주는건 한국인들 아니냐 계속 올라오는 글들 보니 너무 화가 난다 방탄 때문에 빅히트 돈 벌어주는게 서러울 정도로. 또 불매운동하고 들고 일어나봐야 정신 차리는거냐 저번 일본 작곡가 일 아직 안끝났어 #빅히트_파워하우스_한혐,2018-09-26
@JYPETWICE 니들이 한일 갈등을 차별대우로 부추기고 있구나?Jyp 아이돌 사업 접냐?다음 아이돌 데뷔 일본에서 시키게? 한국에선 니들 영향력이 대단햐?한번 불매운동해볼까? 한국민들이 만만하냐? 웃습냐? 개구리가 올챙이적. 시절 잊으면 졸망이란다! 니들이 사랑 하는 좉본인들 불어서 불도저나해라 pic.twitter.com/hGrWpr0RzS,2018-09-24
"스타벅스불매운동 (평창올림픽 그이후) http://intel007.blog.me/221364458031 그날의 망언이후 우리는 여전히 무의식적으로 스타벅스에 갑니다. 저도 그랬어요. 반성 합니다. ㅠㅠ “모든 한국인'은 발전 과정에서 일본이 문화, 기술 그리고 경제적으로 중요한 모델이 됐다고 말할 것입니다.” Really??? pic.twitter.com/CTwGzuSpPn",2018-09-23
"잘 됐다 이제 유엔이 ""made in Korea"" 불매운동하면 우리가 만들어 우리가 다 쓰며 살기로 하자 ""일본제품 안 써야 진짜 광복… 서울 공공기관 전수조사하라"" | 조선일보 AMP http://news.chosun.com/site/data/html_dir/2018/09/21/2018092100143.html …",2018-09-22
불매운동하신다잖음 일본라이브뷰잉 부시로드 메박 아뮤즈등 뷰잉관련 회사들 전부 불매운동하신다잖음 ㅋㅋㅋㅋ 열심히 하라고 하셈,2018-09-22
"어지간히 사고친 경우라도, 일본에서는 ""그렇지만 그래도 불매운동이라니 너무하지 않나요오""같은 이야기 하는 거 많이 들었다.",2018-09-20
불매운동시작합니다.일본쪽바리한테보냅시다.,2018-09-20
일본교수.. 가해자쪽에서 저런 말 하면 부들부들 입니다 이번 협업반대는 감정이 아닌 이성적 판단에서 나온겁니다 감성적이 였다면 빅힛이 하는거 무조건 좋다 커버해 줘야 했겠지요.. 물론 불매운동은 과했다고 생각이 들지만 그만큼 절박했다고도 느껴집니다,2018-09-18
돈을 쓰던 안쓰던 팬은 팬임 다만 돈을 안쓰는데 불매운동 하자~ 라는 마인드가 참 웃길뿐 ㅋㅋ 일본쪽은 모르겠으니 패스하겠지만 한국 팬덤에서 너무 자주 보이니까 그만 보고싶음 그리고 내가 폭발 할때마다 이런 글 쓰시는거 같은데 타이밍이 참 절묘하네요,2018-09-17
안돼요ㅠㅠㅠ 스밍은 돌려주세요! 저희가 해야할건 방시혁 피디님 계정 언팔과 빅히트 언팔과 일본 앨범 불매운동 입니다ㅠㅠ,2018-09-16
또다른 예시로 유x클x도 일본우익이 운영하는 회사입니다. 그런일엔 앞장서서 불매운동같은거 나서지도 않으면서 방탄이 우리들 관심사이기 때문에 국가의 역사니 하면서 나서는 거잖아요. 이번일 말고도 평소에 그렇게 나라 생각하고 위하며 살았는지 묻고싶네요.,2018-09-16
해당 작사가가 일본에서 큰손이라면 아무래도 가오도 있고 심지어 방씨 잘못으로 이 개난리가 나고 있는 와중에 앨범 그대로 나가서 불매운동이라도 당하면 세계적으로 쓸데없는 주목도 받고 그런 이력남기는거 원치않았을꺼라 봐요. 한마디로 방씨만 안팎으로 신뢰를 잃은듯 합니다.,2018-09-16
혹시 일본어 가능하신 분들 중에 이게 무슨 말인지 해석할 수 있는 분..? 일본에서 무슨 요구르트 불매운동 일어나요..? https://twitter.com/kthsexual/status/1041294906663358464 …,2018-09-16
아니.....일본아미들 문제곡이 들어있는 오리지날버전을 예전부터 기대햇는데 그곡빠졌으니깐 불매운동한댘ㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래라,2018-09-16
"오늘 올라온 공지는 불매운동으로 일본 싱글 앨범에서 수익은 챙기지도 못한다는 것이 확실해지니까, 팬들의 요구를 들어주는 척하며 수록곡을 변경하고 자기들은 절대 수익에서 손해를 보지않을 것이라는 생각으로 올린 공지라는 게 보여서 기분 더러운 것이 사실임",2018-09-16
일본앨범 불매운동이면 조금은 이해하겠어!!하지만 스밍끊고 그러는건 좀..,2018-09-16
한국과 일본의 정치적인 상황을 잘 모르셔서 단지 한국이 일본이랑 사이가 안 좋다는 이유 하나가지고 불매운동을 하는 것 같다는 소수의 외국아미분들에게는 위안부 할머니분들 이야기를 해야지 그나마 이해하실 것 같은데 이러한 이야기를 담은 번역본 가지고 있으신 분 없나요 ???,2018-09-16
"AKB48 프로듀서 야키모토 야스시는 우익과 여혐논란이 있는 프로듀서입니다. 일본시장에 입지를 넓히기 위함이라도, 프로듀서 선택에 문제로 저는 불매운동을 지속할 것입니다. #빅히트의_피드백을_요구합니다. #빅히트 #야키모토_야스시",2018-09-16
"일본앨범 나오면 불매운동하자<<이게 늦은거라고?아니지. 그전에 메일,공카에서 피드백 요구 하고 그게 무시당하거나 피드백답이 협업철회안한다! 이렇게 나오면 그때 우리는 일본앨범을 불매할것이다. 이렇게 알려야지ㅋㅋㅋ그리고 여러 커뮤에 알려지고 하는거지 지금 난리쳐서 얻은거 무엇",2018-09-16
아니 걍 저쪽에서 생각이없다면 이쪽에서 일본 앨범 불매운동해야지,2018-09-16
"아미들 저희는 스밍,구취,방탄 팔로잉 이 불매 운동은 안돼요 하지만 일본 이번 앨범 구취,스밍(일본 컴백 곡)은 불매운동을 해야합니다 그러니 제발 스밍 좀 돌려주세요ㅠㅠㅠ",2018-09-16
이번 성급한 불매운동은 팬마저도 애들을 그저 빅히트의 상품으로만 본 결과물같다. 빅히트에게 방탆을 돈벌이수단으로가 아닌 인격체로 봐달라고 했는데 팬들 마저도 빅히트의 상품으로 보는듯한 행위는 치가 떨린다. 일본앨범이 아닌 다른 관계없는 활동을 불매하면서 심지어 공카에 불매운동총공,2018-09-15
문제되는 일본앨범불매는 당연하고 나머지 불매운동은 각자 알아서 할수 있는 행동이라 생각하는데 저것들은 뭐임 도대체뭐어디에도움이되냐 아무상관없는 일반인이 피해보는 개쪽팔린행동이지,2018-09-15
ㅊㅁ 죄송해요 ) 저도 그 피드백 받고 싶네요 근데 그 정신 없을걸요 재계약에 일본에 아미분들 불매운동에 그 피드백 올릴 시간도 없는가 봐요 기사는 잘도 올리면서,2018-09-15
공카에는 스밍포함 모든 불매운동하고있어요!!! 어떻해??? 일본꺼만이잖아!!,2018-09-15
"방탄소년단 팬클럽 ‘아미’, 일본 우익 프로듀서 협업 소식에 격분 …강행시 불매운동 벌일 것 http://m.cnbnews.com/m/m_article.html?no=385314 …",2018-09-15
"방탄소년단 팬클럽 ‘아미’, 일본 우익 프로듀서 협업 소식에 격분 …강행시 불매운동 벌일 것 http://m.cnbnews.com/m/m_article.html?no=385314 …",2018-09-15
"#hitmanb #방시혁 방탄소년단 팬클럽 ‘아미’, 일본 우익 프로듀서 협업 소식에 격분 …강행시 불매운동 벌일 것 http://m.cnbnews.com/m/m_article.html?no=385314 …",2018-09-15
이렇게까지 사단이 났는데 언급이 없는걸보니 ㅂㅎㅌ에서 그냥 강행할것같네요 일본 아미와 연합해 저 앨범 불매운동을하는게 효과적인 저지방법이라 생각되는데 정치적으로 접근해서 우리의 정서를 이해시키긴 어려운 상황이라면 여혐적인 가사에 촛점 맞추면 어떨까요,2018-09-15
이유가 있지 않았을까? 그동안 대기업 사이에서도 버티어서 현재까지 온 사람인데...인신공격보다는 문제의 본질에 집중해보는게 필요해보이는데...우선 이번 나오는 일본앨범 불매운동부터 시작해보는 걸로.,2018-09-15
방탄소년단을 사랑하는 아미. 소속사가 일본우익과 콜라보 진행한다는 소식에 전세계적인 불매운동으로 철회를 요구한다. 문프를 지지하는 문파. 공직무자격 전과자를 공천하고 비호하는 당과 찢카르텔의 과오를 지적하며 혜경궁김씨 광고내고 소송하고 집회한다. 나는 아미와 문파를 응원한다.,2018-09-15
나도 불매운동 일본 앨범은 당연히 할건데 광고하고 있는 거 불매는 못하겠다 아무리 영향없다그래도 있을 것 같다,2018-09-15
친일우익 아키모토 야스시의 세계관을 좋아하다니...“방탄 팬그룹 아미 초강수 뒀다”···작곡가 우익 논란에 ‘불매운동’ 불사 | 일본극우와 교류하는 방시혁 대표는 반성해야. 세계적인 그룹에 올랐다하여 조국의 정서를 외면한다면 곤란한일. 겸손하게 국민의 목소리에 귀기울여야.,2018-09-15
내가 보기엔 앨범이 예정대로 판매돼버리면 일단 악수회땜에 앨범 사는 일본아미들은 많을거야.... 지금 불매운동 얘기도 있어서 안사는 사람들도 분명히 있긴있을건데 그래도 그냥 사는사람들이 훨씬 더 많을거 같애 나는 절대로 못사겠어 그걸 어떻게 사는데,2018-09-15
"빅히트가 협업을 철회하게 하는 방법이 불매운동, 보이콧이라고? 큰 회사와 협상을 통해 협업이 철회될지 아닐지가 정해지는데 멜론차트보고 정함?팔로워 떨어지는거 보고 정함? 지금 빅히트가 그걸 신경쓸까 과연ㅋㅋㅋㅋㅋㅋ불매운동은 일본앨범이 발매됐을때 해당 활동에 대해서 보이콧하셔야죠",2018-09-15
ㅊㅁ)불매운동 하지 말아주세요. 불매운동을 핫ㄹ거면 한국과 관련되지 않은 일본앨범만 불매하시는게 옳습니다 pic.twitter.com/DrFJMsk3B6,2018-09-15
근데 불매운동을 얘들이 광고한거 무작정 다 안산다 하지말고 그냥 일본앨범만 불매하면 안되나?;; 이번일땜에 얘들 광고한거 다 불매하면 피해는 얘들이 받을텐데,2018-09-15
"지금 불매운동하신다고 스밍 안돌리시는분들 있는데 스밍은 돌리셔야해요ㅜㅜ빅히트때문에 방탄한테 피해줄순없잖아요,,,불매운동하실꺼면 일본앨범 절대 구매,빅히트와 방시혁 언팔하세요.",2018-09-15
"불매운동이 성공할까도 미지수.. 음반 판매량이 줄긴 줄겠지만 영향력이 미미할 것 같은데. 한국 앨범이 아닌 일본 앨범, 주 소비자는 일본인.. 팬싸인회 팬미팅 같은 이벤트가 진행된다면 특히 더.",2018-09-15
지금은 우리가 싸워야하는 대상을 정확하게 구분해야합니다. 방탄인지 방시혁인지?잘못은 방시혁이 했는데 왜 방탄이 직격탄을 맞아야합니까? 불매운동을 하려면 일본앨범에 한해서 하고 기존 방탄작품들은 여전히 응원해야 더 비교가 명확해지지요. 나는 절대로 잡은손 놓지않겠습니다.,2018-09-14
"일본아미들이 불매운동하면 효과있을텐데 ...아쉽네요 방시혁 지금까지 설득, 변명조차 못내놓는거보면 아키모토가 쓰레기 맞나봐요",2018-09-14
일본앨범은 어차피 대부분의 한국팬들은 사지도않잖아요. 불매하는 의미가 없어요ㅋㅋ어차피안사는앨범이었으니까. 불매안하면요? 스밍좀 멈추고 팔로끊고 브이앱좀 환불한다고 방탄이 망할까요? 빅히트는 기업이에요. 소비자가 기업에게 보일수 있는 가장강력한 의사표현은 불매운동입니다.,2018-09-14
초멘죄송합니다)그래도 무작정 불매운동을할경우 특히 기업을 건드려서 기업이 손해를 본 경우에는 오히려 ㅂㅌ이 고소대상이 될 수도 있다고 해요 지금은 일단 일본앨범만 하고 기업불매는 신중해질 필요가 있습니다....,2018-09-14
"불매운동 해야한다고 봅니다 > 문제의 일본 앨범 불매 > v앱 유료 불매 ex)본보야지 3 > @BigHitEnt 언팔 > 계속해서 협업 중단 요구 @hitmanb > 푸마, LG, 코카콜라, VT, 콜드브루 등 불매 > 메일/공카/트위터 피드백 총공 참여pic.twitter.com/5ppst3k5dL",2018-09-14
이번에 나오는 일본앨범 불매운동해요,2018-09-14
