"가구특성별","비목별",2017,2017,2018 p),2018 p)
"가구특성별","비목별",소비지출(전년도) 평균 (만원),소비지출(전년도) 중앙값 (만원),소비지출(전년도) 평균 (만원),소비지출(전년도) 중앙값 (만원)
"(가구주 연령) 30세 미만","소비지출",1621,1540,1851,1694
"(가구주 연령) 30세 미만","식료품",469,-,552,-
"(가구주 연령) 30세 미만","주거비",299,-,334,-
"(가구주 연령) 30세 미만","교육비",67,-,86,-
"(가구주 연령) 30세 미만","의료비",75,-,82,-
"(가구주 연령) 30세 미만","교통비",157,-,164,-
"(가구주 연령) 30세 미만","통신비",149,-,146,-
"(가구주 연령) 30세 미만","기타지출",407,-,487,-
"(가구주 연령) 30-39세","소비지출",2542,2318,2679,2510
"(가구주 연령) 30-39세","식료품",788,-,833,-
"(가구주 연령) 30-39세","주거비",309,-,324,-
"(가구주 연령) 30-39세","교육비",233,-,249,-
"(가구주 연령) 30-39세","의료비",122,-,118,-
"(가구주 연령) 30-39세","교통비",270,-,269,-
"(가구주 연령) 30-39세","통신비",187,-,185,-
"(가구주 연령) 30-39세","기타지출",632,-,701,-
"(가구주 연령) 40-49세","소비지출",3252,3000,3482,3156
"(가구주 연령) 40-49세","식료품",887,-,951,-
"(가구주 연령) 40-49세","주거비",347,-,364,-
"(가구주 연령) 40-49세","교육비",648,-,709,-
"(가구주 연령) 40-49세","의료비",150,-,149,-
"(가구주 연령) 40-49세","교통비",324,-,332,-
"(가구주 연령) 40-49세","통신비",216,-,213,-
"(가구주 연령) 40-49세","기타지출",679,-,764,-
"(가구주 연령) 50-59세","소비지출",2936,2510,3070,2670
"(가구주 연령) 50-59세","식료품",773,-,840,-
"(가구주 연령) 50-59세","주거비",342,-,364,-
"(가구주 연령) 50-59세","교육비",439,-,410,-
"(가구주 연령) 50-59세","의료비",168,-,171,-
"(가구주 연령) 50-59세","교통비",334,-,339,-
"(가구주 연령) 50-59세","통신비",221,-,221,-
"(가구주 연령) 50-59세","기타지출",659,-,726,-
"(가구주 연령) 60세 이상","소비지출",1596,1244,1716,1354
"(가구주 연령) 60세 이상","식료품",516,-,555,-
"(가구주 연령) 60세 이상","주거비",242,-,253,-
"(가구주 연령) 60세 이상","교육비",41,-,40,-
"(가구주 연령) 60세 이상","의료비",191,-,201,-
"(가구주 연령) 60세 이상","교통비",161,-,174,-
"(가구주 연령) 60세 이상","통신비",98,-,103,-
"(가구주 연령) 60세 이상","기타지출",347,-,391,-
"(가구유형) 노인가구","소비지출",1011,793,1116,880
"(가구유형) 노인가구","식료품",350,-,381,-
"(가구유형) 노인가구","주거비",186,-,203,-
"(가구유형) 노인가구","교육비",1,-,1,-
"(가구유형) 노인가구","의료비",170,-,187,-
"(가구유형) 노인가구","교통비",73,-,81,-
"(가구유형) 노인가구","통신비",48,-,50,-
"(가구유형) 노인가구","기타지출",183,-,213,-
